Timestamp,cpu_usage,rolling_mean,rolling_std,rolling_min,rolling_max,delta,label
2025-12-27 14:41:16.098011,2.3,1.5899999999999999,0.7218032973047434,0.6,2.8,1.4999999999999998,0
2025-12-27 14:41:17.098525,1.8,1.7100000000000002,0.6332456079595024,0.8,2.8,-0.4999999999999998,0
2025-12-27 14:41:18.099927,1.4,1.7399999999999998,0.6077280093375104,0.8,2.8,-0.40000000000000013,0
2025-12-27 14:41:19.100812,1.1,1.69,0.6402256546631732,0.8,2.8,-0.2999999999999998,0
2025-12-27 14:41:20.101886,0.6,1.64,0.7074209810603898,0.6,2.8,-0.5000000000000001,0
2025-12-27 14:41:21.103925,1.4,1.5499999999999998,0.6704061787039589,0.6,2.8,0.7999999999999999,0
2025-12-27 14:41:22.105018,1.2,1.48,0.6663332499583073,0.6,2.8,-0.19999999999999996,0
2025-12-27 14:41:23.105763,2.0,1.4,0.5228129047119376,0.6,2.3,0.8,0
2025-12-27 14:41:24.106551,1.1,1.37,0.5313504806936129,0.6,2.3,-0.8999999999999999,0
2025-12-27 14:41:25.107261,1.5,1.44,0.4926120853842979,0.6,2.3,0.3999999999999999,0
2025-12-27 14:41:26.107843,1.4,1.35,0.38944404818493117,0.6,2.0,-0.10000000000000009,0
2025-12-27 14:41:27.108328,0.8,1.25,0.3894440481849314,0.6,2.0,-0.5999999999999999,0
2025-12-27 14:41:28.108930,1.7,1.28,0.41311822359545836,0.6,2.0,0.8999999999999999,0
2025-12-27 14:41:29.109644,0.6,1.23,0.46439925351648365,0.6,2.0,-1.1,0
2025-12-27 14:41:30.110074,1.0,1.27,0.41912607490666476,0.6,2.0,0.4,0
2025-12-27 14:41:31.110784,2.3,1.3599999999999999,0.5316640543300505,0.6,2.3,1.2999999999999998,0
2025-12-27 14:41:32.111678,7.5,1.9899999999999998,2.006904747781186,0.6,7.5,5.2,0
2025-12-27 14:41:33.112368,8.1,2.6,2.7860764925289145,0.6,8.1,0.5999999999999996,0
2025-12-27 14:41:34.113008,1.8,2.67,2.7527965578460183,0.6,8.1,-6.3,0
2025-12-27 14:41:35.113612,0.9,2.61,2.7874520424374816,0.6,8.1,-0.9,0
2025-12-27 14:41:36.114104,1.9,2.66,2.7677507916075905,0.6,8.1,0.9999999999999999,0
2025-12-27 14:41:37.115015,0.6,2.6399999999999997,2.7833632732920637,0.6,8.1,-1.2999999999999998,0
2025-12-27 14:41:38.115604,1.2,2.59,2.806520186201331,0.6,8.1,0.6,0
2025-12-27 14:41:39.116065,1.1,2.6399999999999997,2.771361478487504,0.6,8.1,-0.09999999999999987,0
2025-12-27 14:41:40.116623,4.9,3.03,2.789285053756806,0.6,8.1,3.8000000000000003,0
