Timestamp,cpu_usage,rolling_mean,rolling_std,rolling_min,rolling_max,delta,label
2025-12-26 16:41:56.128061,4.5,4.7299999999999995,2.200530239131772,0.8,8.2,3.7,0
2025-12-26 16:41:57.128949,3.5,4.8,2.1426878239984264,0.8,8.2,-1.0,0
2025-12-26 16:41:58.129446,4.0,4.79,2.1465476157464263,0.8,8.2,0.5,0
2025-12-26 16:41:59.129917,1.5,4.22,2.191802910847597,0.8,8.2,-2.5,0
2025-12-26 16:42:00.130299,1.5,4.069999999999999,2.3314516222016413,0.8,8.2,0.0,0
2025-12-26 16:42:01.130632,1.3,3.65,2.4217762076624663,0.8,8.2,-0.19999999999999996,1
2025-12-26 16:42:02.131000,3.2,3.15,1.819187852983974,0.8,6.2,1.9000000000000001,0
2025-12-26 16:42:03.131892,0.8,2.61,1.6017004852482373,0.8,5.0,-2.4000000000000004,1
2025-12-26 16:42:04.132562,1.2,2.2299999999999995,1.411106736651135,0.8,4.5,0.3999999999999999,1
2025-12-26 16:42:05.134241,1.6,2.3099999999999996,1.3420134127496617,0.8,4.5,0.40000000000000013,0
2025-12-26 16:42:06.135559,2.5,2.1100000000000003,1.1080012033687778,0.8,4.0,0.8999999999999999,0
2025-12-26 16:42:07.136407,1.6,1.9200000000000004,1.000888494177933,0.8,4.0,-0.8999999999999999,0
2025-12-26 16:42:08.136950,1.7,1.69,0.6838615844355188,0.8,3.2,0.09999999999999987,0
2025-12-26 16:42:09.137159,2.4,1.78,0.7146094504459471,0.8,3.2,0.7,0
2025-12-26 16:42:10.137430,14.9,3.12,4.199153353818944,0.8,14.9,12.5,1
2025-12-26 16:42:11.138175,4.9,3.4799999999999995,4.180058479123095,0.8,14.9,-10.0,0
2025-12-26 16:42:12.138733,10.6,4.220000000000001,4.742198271313046,0.8,14.9,5.699999999999999,1
2025-12-26 16:42:13.139161,9.3,5.07,4.822182539519263,1.2,14.9,-1.299999999999999,0
2025-12-26 16:42:14.139537,5.0,5.45,4.629194794393993,1.6,14.9,-4.300000000000001,0
2025-12-26 16:42:15.139802,9.1,6.2,4.542882100360715,1.6,14.9,4.1,0
2025-12-26 16:42:16.140381,3.3,6.279999999999999,4.477052601879946,1.6,14.9,-5.8,0
2025-12-26 16:42:17.141003,1.8,6.3,4.454211490264018,1.7,14.9,-1.4999999999999998,0
2025-12-26 16:42:18.141527,2.1,6.34,4.409887879653077,1.8,14.9,0.30000000000000004,0
2025-12-26 16:42:19.142493,1.9,6.290000000000001,4.462049852801836,1.8,14.9,-0.20000000000000018,0
2025-12-26 16:42:20.143173,2.1,5.01,3.435581788026915,1.8,10.6,0.20000000000000018,0
2025-12-26 16:42:21.143364,4.1,4.93,3.447720664116768,1.8,10.6,1.9999999999999996,0
2025-12-26 16:42:22.144345,9.7,4.840000000000001,3.291470458287263,1.8,9.7,5.6,0
2025-12-26 16:42:23.144958,4.2,4.33,2.894842156510627,1.8,9.7,-5.499999999999999,0
